zgbh,icid
1336087   ,0258782154
1336119   ,0869368139
1336137   ,1789025707
1336152   ,1784435163
1336208   ,0867168315
1336233   ,1766635131
1336240   ,1767169355
1336283   ,2662699163
1336369   ,3251519683
1336383   ,2662414971
1336408   ,1766951275
1336419   ,1768543531
1336561   ,1786509547
1336674   ,1790272651
1336943   ,1782874187
1337295   ,4140006574
1337470   ,0312394234
1337495   ,0872860939
1337545   ,0761271066
1337563   ,2675029643
1337813   ,1790554635
1312401   ,4130087678
1312483   ,4138411502
1313321   ,3528712702
1313923   ,3285259089
1314041   ,0312404282
1314159   ,0312953130
1314900   ,0312676378
1315513   ,3530438654
1316176   ,0761297018
1316907   ,0755527722
1316977   ,4138141790
1317146   ,0311794490
1318084   ,1269697049
1318091   ,4138262334
1318324   ,2672060043
1319071   ,0966078907
1320402   ,2675653083
1332093   ,0873629579
1332777   ,3503817642
1336011   ,4030769329
1336056   ,2675954603
1336125   ,3535948830
1322001   ,1768610347
1322533   ,1768329467
1323759   ,1766464491
1325048   ,2754738442
1326448   ,0868489115
1328578   ,3529584622
1328861   ,3532396142
1330132   ,2984612817
1330167   ,1781478363
1330299   ,1692312173
1331128   ,1766742459
1336157   ,2676431131
1336171   ,0342631121
1336195   ,0964984651
1336245   ,1788478347
1336310   ,0257952218
1336357   ,4137061230
1336389   ,0761835194
1336406   ,1766858939
1336549   ,0972585259
1337333   ,0967641931
1337565   ,4130305134
1337568   ,3531318414
1337715   ,0762341354
1337783   ,1789888315
1337864   ,0969006267
1312134   ,4134479198
1312985   ,2472577056
1313053   ,0977556683
1313531   ,1798522345
1314042   ,3528764494
1314215   ,2756385338
1314744   ,0968878315
1315964   ,1333635790
1316972   ,1799294985
1317123   ,0759294106
1317209   ,4129596670
1317453   ,2756261818
1320389   ,1785114891
1320390   ,2676007483
843686    ,2114618004
1301509   ,2675965627
1302230   ,4134529022
1303315   ,1783239611
1303858   ,3530328398
1332041   ,1782234123
1332305   ,1764035099
1333097   ,3536442510
1334759   ,1788464091
1335671   ,2673628763
1335966   ,3732496734
1301294   ,1790264587
1301521   ,2675850683
1302715   ,4134990718
1305091   ,4137510862
1306468   ,2672762267
1306881   ,2944996994
1308793   ,1606287578
1308812   ,3531798526
1309863   ,2673910667
1309978   ,2675588427
1310675   ,1798414745
756135    ,1608869143
1336031   ,0870000219
1336073   ,0868642651
1336076   ,0873913819
1336155   ,1787207131
1336156   ,0762296506
1336194   ,4140433166
1336262   ,4035123393
1336323   ,3926220107
1337334   ,1112177982
1337548   ,0310851834
1337549   ,1766902795
1337617   ,1784796059
1337799   ,4134829998
1312218   ,3529103406
1312511   ,3537029998
1312869   ,1779101435
1313730   ,3532100558
1314268   ,0967848571
1315014   ,4129472302
1315155   ,0312862202
1316853   ,0312325738
1317139   ,3504033594
1317723   ,4135945086
1318094   ,4137121134
1318838   ,0757646506
1319706   ,0869428507
1332494   ,1798565609
1332866   ,2675412731
1332959   ,3535538094
1333116   ,2669872971
1333349   ,1782639755
1333739   ,4135220910
1335283   ,3531775214
1335978   ,0868123355
1335985   ,0972502587
1336001   ,2667226059
1336015   ,1810701738
1336026   ,1768476331
1336143   ,1787320155
1336324   ,0874026763
1336360   ,4130783470
1336374   ,2663504619
1337454   ,3710370202
1337511   ,1801405050
1337629   ,1787150971
1337647   ,2062550496
1337697   ,1765619691
1322636   ,2675435579
1323381   ,1767236107
1323744   ,1766576619
1323812   ,3268750706
1324115   ,1785652747
1324199   ,3247364003
1325570   ,1767786155
1325588   ,1764722747
1327068   ,1789111691
1327696   ,2674384187
1330128   ,1761776795
1302717   ,4139751358
1303602   ,2673377611
1303609   ,2674156011
1306927   ,4129162702
1308515   ,3528340990
1309851   ,2674264795
1309958   ,4134553102
1310055   ,2669669563
1310359   ,2669946987
757534    ,2977223633
757648    ,1575417716
757803    ,0776750309
