EMP_CD,START_DATE,CLASS_CD
09238,2017/8/27 0:00:00,"105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,"
09249,2017/8/27 0:00:00,"114,114,114,114,114,114,114,114,114,114,114,114,114,114,114,"
09276,2017/8/27 0:00:00,"116,116,116,116,116,116,116,116,116,116,116,116,116,116,116,"
09311,2017/8/27 0:00:00,"114,114,114,114,114,114,114,114,114,114,114,114,114,114,114,"
09314,2017/8/27 0:00:00,"116,116,116,116,116,116,116,116,116,116,116,116,116,116,116,"
09339,2017/8/27 0:00:00,"103,103,103,103,103,103,103,103,103,103,103,103,103,103,103,"
09342,2017/8/27 0:00:00,"113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,"
09343,2017/8/27 0:00:00,"108,108,108,108,108,108,108,108,108,108,108,108,108,108,108,"
09345,2017/8/27 0:00:00,"112,112,112,112,112,112,112,112,112,112,112,112,112,112,112,"
09363,2017/8/27 0:00:00,"114,114,114,114,114,114,114,114,114,114,114,114,114,114,114,"
09371,2017/8/27 0:00:00,"113,113,113,113,113,113,113,113,,,,,,,,"
09394,2017/8/27 0:00:00,",113,113,113,113,113,113,,,,,,,,,"
09494,2017/8/27 0:00:00,"126,316,316,316,316,316,316,316,316,316,316,316,316,316,316,"
09495,2017/8/27 0:00:00,"114,114,114,114,114,114,114,114,114,114,114,114,114,114,114,"
10013D,2017/8/27 0:00:00,"116,116,116,116,116,116,116,116,116,116,116,116,116,116,116,"
10089,2017/8/27 0:00:00,"115,115,115,115,115,115,115,115,115,115,115,115,115,115,115,"
10094,2017/8/27 0:00:00,"115,115,115,115,115,115,115,115,115,115,115,115,115,115,115,"
10263,2017/8/27 0:00:00,"115,115,115,115,115,115,115,115,115,115,115,115,115,115,115,"
127013,2017/8/27 0:00:00,"113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,"
127562,2017/8/27 0:00:00,"113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,"
1280000,2017/8/27 0:00:00,"117,117,117,117,117,117,117,117,117,117,117,117,117,117,117,"
1280014,2017/8/27 0:00:00,"113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,"
1280016,2017/8/27 0:00:00,"115,115,115,115,115,115,115,115,115,115,115,115,115,115,115,"
1280028,2017/8/27 0:00:00,"105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,"
1280035,2017/8/27 0:00:00,"317,317,317,317,317,317,317,317,317,317,317,317,317,317,317,"
1280060,2017/8/27 0:00:00,"115,115,115,115,115,115,115,115,115,115,115,115,115,115,115,"
1280076,2017/8/27 0:00:00,"305,305,305,305,305,305,305,305,305,305,305,305,305,305,305,"
1280085,2017/8/27 0:00:00,"106,106,106,106,106,106,106,106,106,106,106,106,106,106,106,"
1280087,2017/8/27 0:00:00,"106,106,106,106,106,106,106,106,106,106,106,106,106,106,106,"
1280097,2017/8/27 0:00:00,"126,126,126,126,126,126,126,126,126,126,126,126,126,126,126,"
1280129,2017/8/27 0:00:00,"113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,"
1280162,2017/8/27 0:00:00,"113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,"
